open_time,open,high,low,close,volume,super_trend,volume_sma,trend_direction,sma_20,sma_50,sma_100,rsi,cci,macd,macd_signal,stoch_rsi,momentum,rsi_14,rsi_28,volatility_band_width,bollinger_upper,bollinger_middle,bollinger_lower,bollinger_width,bollinger_pct_b,atr_10,atr_10_percent,atr_20,atr_20_percent,volume,quote_asset_volume,taker_buy_base_volume,taker_buy_quote_volume,volume_sma,adx,di_pos,di_neg
1747592700000,1.2971,1.3015,1.2891,1.3013,595877.8,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,595877.8,772050.4222,323695.2,419592.06015,,0.0,0.0,0.0
1747593000000,1.3012,1.3015,1.2881,1.2922,637402.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,637402.0,825041.06993,265259.1,343436.01128,,0.0,0.0,0.0
1747593300000,1.2921,1.296,1.2874,1.293,429020.7,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,429020.7,554093.87934,222734.2,287750.26714,,0.0,0.0,0.0
1747593600000,1.293,1.2965,1.2882,1.2884,376013.8,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,376013.8,485600.72324,194821.3,251639.32792,,0.0,0.0,0.0
1747593900000,1.2883,1.2911,1.2756,1.2794,541293.5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,541293.5,694344.9918,236992.5,304220.81925,,0.0,0.0,0.0
1747594200000,1.2793,1.2829,1.2743,1.2808,707232.5,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,707232.5,904539.03579,375021.0,479782.46058,,0.0,0.0,0.0
1747594500000,1.2806,1.2841,1.2759,1.2823,360882.3,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,360882.3,461690.52837,171117.8,218984.11372,,0.0,0.0,0.0
1747594800000,1.282,1.2916,1.2804,1.2835,461154.8,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,461154.8,593011.44453,281881.8,362636.31563,,0.0,0.0,0.0
1747595100000,1.2834,1.289,1.2776,1.2885,370186.7,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,370186.7,475430.2539,213124.5,273835.43413,,0.0,0.0,0.0
1747595400000,1.2886,1.2891,1.2846,1.2863,309959.6,,,,,,,,,,,,,,,,,,,,,0.010209999999999986,0.7937495141102375,0.0,0.0,309959.6,398783.01811,175884.4,226291.18728,,0.0,0.0,0.0
